SNR: 0.4622149401999418, Noise Level: 0.35
SNR: 2.651247812347785, Noise Level: 0.3
SNR: 5.272113464476417, Noise Level: 0.25
SNR: 7.246421368999044, Noise Level: 0.2
SNR: 10.023437880549835, Noise Level: 0.15000000000000002
SNR: 13.853913769086066, Noise Level: 0.10000000000000003
SNR: 20.088606386329996, Noise Level: 0.050000000000000044
SNR: 81.42152053127019, Noise Level: 5.551115123125783e-17
SNR: 13.853913769086066, Noise Level: 0.10000000000000003
SNR: 20.088606386329996, Noise Level: 0.050000000000000044
SNR: 81.42152053127019, Noise Level: 5.551115123125783e-17
