SNR: 1.7957275863954205, Noise Level: 0.35
SNR: 2.6130802577425034, Noise Level: 0.3
SNR: 3.699696315776535, Noise Level: 0.25
SNR: 5.2232660325627265, Noise Level: 0.2
SNR: 7.343683213511736, Noise Level: 0.15000000000000002
SNR: 10.702546436978544, Noise Level: 0.10000000000000003
SNR: 17.66579179567032, Noise Level: 0.050000000000000044
SNR: 86.31345253408801, Noise Level: 5.551115123125783e-17
SNR: 86.31345253408801, Noise Level: 5.551115123125783e-17
SNR: 10.702546436978544, Noise Level: 0.10000000000000003
SNR: 17.66579179567032, Noise Level: 0.050000000000000044
