SNR: 2.319659625762678, Noise Level: 0.35
SNR: 3.912931974920211, Noise Level: 0.3
SNR: 5.6817472786455125, Noise Level: 0.25
SNR: 7.661325717151701, Noise Level: 0.2
SNR: 10.443281078273364, Noise Level: 0.15000000000000002
SNR: 14.306873435917673, Noise Level: 0.10000000000000003
SNR: 20.657390622472946, Noise Level: 0.050000000000000044
SNR: 79.35564685737785, Noise Level: 5.551115123125783e-17
SNR: 14.306873435917673, Noise Level: 0.10000000000000003
SNR: 79.35564685737785, Noise Level: 5.551115123125783e-17
SNR: 20.657390622472946, Noise Level: 0.050000000000000044
