SNR: 1.5918281944912935, Noise Level: 0.35
SNR: 2.5235547074111615, Noise Level: 0.3
SNR: 3.8309524537247204, Noise Level: 0.25
SNR: 5.778245757966412, Noise Level: 0.2
SNR: 8.728257321821252, Noise Level: 0.15000000000000002
SNR: 12.270942389186585, Noise Level: 0.10000000000000003
SNR: 18.31030407953852, Noise Level: 0.050000000000000044
SNR: 86.15338057520994, Noise Level: 5.551115123125783e-17
SNR: 86.15338057520994, Noise Level: 5.551115123125783e-17
SNR: 12.270942389186585, Noise Level: 0.10000000000000003
SNR: 18.31030407953852, Noise Level: 0.050000000000000044
