SNR: 3.7680493950041622, Noise Level: 0.35
SNR: 5.11397731497525, Noise Level: 0.3
SNR: 6.725523776928435, Noise Level: 0.25
SNR: 8.702988983668325, Noise Level: 0.2
SNR: 11.31049389732243, Noise Level: 0.15000000000000002
SNR: 15.043983810408806, Noise Level: 0.10000000000000003
SNR: 20.822780176966464, Noise Level: 0.050000000000000044
SNR: 82.34111452750228, Noise Level: 5.551115123125783e-17
SNR: 20.822780176966464, Noise Level: 0.050000000000000044
SNR: 82.34111452750228, Noise Level: 5.551115123125783e-17
SNR: 15.043983810408806, Noise Level: 0.10000000000000003
