SNR: 2.44519126803816, Noise Level: 0.35
SNR: 3.7349343552090177, Noise Level: 0.3
SNR: 5.206002357372274, Noise Level: 0.25
SNR: 6.839995651964453, Noise Level: 0.2
SNR: 8.867849458767932, Noise Level: 0.15000000000000002
SNR: 11.628472205008428, Noise Level: 0.10000000000000003
SNR: 14.9489520243534, Noise Level: 0.050000000000000044
SNR: 85.41073156845539, Noise Level: 5.551115123125783e-17
SNR: 85.41073156845539, Noise Level: 5.551115123125783e-17
SNR: 14.9489520243534, Noise Level: 0.050000000000000044
SNR: 11.628472205008428, Noise Level: 0.10000000000000003
