SNR: 2.8608964213692682, Noise Level: 0.35
SNR: 4.173558476239957, Noise Level: 0.3
SNR: 5.826602992122867, Noise Level: 0.25
SNR: 7.741171070725691, Noise Level: 0.2
SNR: 10.2988074085684, Noise Level: 0.15000000000000002
SNR: 14.345129909442607, Noise Level: 0.10000000000000003
SNR: 20.849921796827452, Noise Level: 0.050000000000000044
SNR: 82.79686084467858, Noise Level: 5.551115123125783e-17
SNR: 82.79686084467858, Noise Level: 5.551115123125783e-17
SNR: 14.345129909442607, Noise Level: 0.10000000000000003
SNR: 20.849921796827452, Noise Level: 0.050000000000000044
