SNR: -0.46570986839552797, Noise Level: 0.35
SNR: 0.8872738690468842, Noise Level: 0.3
SNR: 2.4748794266091028, Noise Level: 0.25
SNR: 4.3864198135551336, Noise Level: 0.2
SNR: 6.7590411937243156, Noise Level: 0.15000000000000002
SNR: 9.765642723161363, Noise Level: 0.10000000000000003
SNR: 15.320761031703675, Noise Level: 0.050000000000000044
SNR: 77.86718623990802, Noise Level: 5.551115123125783e-17
SNR: 9.765642723161363, Noise Level: 0.10000000000000003
SNR: 77.86718623990802, Noise Level: 5.551115123125783e-17
SNR: 15.320761031703675, Noise Level: 0.050000000000000044
